Date;site;transect;quadrat;percentCover_allCoral;percentCover_macroalgae;percentCover_CTB
01/09/1990;Tektite;3;T3Q5;29;1;34
01/09/1990;Tektite;3;T3Q6;32;8.5;36.5
01/09/1990;Tektite;3;T3Q7;51;16;15.5
01/09/1990;Tektite;3;T3Q8;46;10;21
01/09/1990;Tektite;3;T3Q9;48;5;22.5
01/09/1990;Tektite;3;T3Q10;41.5;11.5;29.5
01/03/1991;Tektite;1;T1Q1;21.5;2.5;33
01/03/1991;Tektite;1;T1Q2;16.5;25;26.5
01/03/1991;Tektite;1;T1Q3;27.6;7.5;26
01/03/1991;Tektite;1;T1Q4;21.9;32;14
01/03/1991;Tektite;1;T1Q5;38.5;6.5;23
01/03/1991;Tektite;1;T1Q6;40;2;8.5
01/03/1991;Tektite;1;T1Q7;40.5;3;21.5
01/03/1991;Tektite;1;T1Q8;36.5;2.5;9
01/03/1991;Tektite;1;T1Q9;18.5;1.5;21
01/03/1991;Tektite;1;T1Q10;41.1;6;21.5
01/03/1991;Tektite;2;T2Q1;16.5;26;11.5
01/03/1991;Tektite;2;T2Q2;25;10;24.5
01/03/1991;Tektite;2;T2Q3;17;7;29
01/03/1991;Tektite;2;T2Q4;46.5;0;21.5
01/03/1991;Tektite;2;T2Q5;56;1;8
01/03/1991;Tektite;2;T2Q6;50;0;13
01/03/1991;Tektite;2;T2Q7;70.8;0;9.5
01/03/1991;Tektite;2;T2Q8;52.6;0;11.5
01/03/1991;Tektite;2;T2Q9;61.5;2.5;12.5
01/03/1991;Tektite;2;T2Q10;51;0;16.5
01/03/1991;Tektite;3;T3Q1;32;9;20
01/03/1991;Tektite;3;T3Q2;52.6;0;13.5
01/03/1991;Tektite;3;T3Q3;56;0;13.5
01/03/1991;Tektite;3;T3Q4;38.1;2.5;23
01/03/1991;Tektite;3;T3Q5;28.5;1;26.5
01/03/1991;Tektite;3;T3Q6;29.5;3;26.5
01/03/1991;Tektite;3;T3Q7;50.3;2;21
01/03/1991;Tektite;3;T3Q8;47.7;0;12
01/03/1991;Tektite;3;T3Q9;41.2;1.5;25.5
01/03/1991;Tektite;3;T3Q10;45.7;5.5;23
01/05/1992;Tektite;2;T2Q1;20.5;1;34.5
01/05/1992;Tektite;2;T2Q2;25.5;2;32.5
01/05/1992;Tektite;2;T2Q3;26;0;34.5
01/05/1992;Tektite;2;T2Q4;38;0;25
01/05/1992;Tektite;2;T2Q5;57;1.5;11.5
01/05/1992;Tektite;2;T2Q6;42.5;2.5;14
01/05/1992;Tektite;2;T2Q7;55.5;0;13.5
01/05/1992;Tektite;2;T2Q8;52;0;11.5
01/05/1992;Tektite;2;T2Q9;48;0;17.5
01/05/1992;Tektite;2;T2Q10;41;2.5;20
01/05/1992;Tektite;3;T3Q1;30;14;25
01/05/1992;Tektite;3;T3Q2;53;2.5;11
01/05/1992;Tektite;3;T3Q3;24.5;3.5;17
01/05/1992;Tektite;3;T3Q4;21.5;4;36
01/05/1992;Tektite;3;T3Q5;28.5;2.5;28
01/05/1992;Tektite;3;T3Q7;25.5;5;27
01/05/1992;Tektite;3;T3Q8;53.5;7;13.5
01/05/1992;Tektite;3;T3Q9;33;6.5;32
01/06/1993;Tektite;1;T1Q1;16.3;6.2;30.3
01/06/1993;Tektite;1;T1Q2;4;5;32.3
01/06/1993;Tektite;1;T1Q3;22.7;6.1;25.6
01/06/1993;Tektite;1;T1Q4;12.1;7.9;30.9
01/06/1993;Tektite;1;T1Q5;45;1.3;17.2
01/06/1993;Tektite;1;T1Q6;69.4;3.5;8.5
01/06/1993;Tektite;1;T1Q7;53.7;1.4;28.8
01/06/1993;Tektite;1;T1Q8;56.7;0;5.3
01/06/1993;Tektite;1;T1Q9;28.4;0;17.5
01/06/1993;Tektite;1;T1Q10;50.3;0.6;15.1
01/06/1993;Tektite;2;T2Q1;13.3;3.9;15.6
01/06/1993;Tektite;2;T2Q2;22.6;7.3;21
01/06/1993;Tektite;2;T2Q3;22.2;8.2;25.9
01/06/1993;Tektite;2;T2Q4;36.2;4.8;22.6
01/06/1993;Tektite;2;T2Q5;73.7;1.3;8.9
01/06/1993;Tektite;2;T2Q6;75.1;4.5;10.3
01/06/1993;Tektite;2;T2Q7;73.6;1.3;7.6
01/06/1993;Tektite;2;T2Q8;58.3;6.4;11.5
01/06/1993;Tektite;2;T2Q9;47.4;2.5;8.7
01/06/1993;Tektite;2;T2Q10;44.9;3.9;8.8
01/06/1993;Tektite;3;T3Q1;21.2;7.2;25.5
01/06/1993;Tektite;3;T3Q2;32.4;4.2;10.5
01/06/1993;Tektite;3;T3Q3;56.1;1.3;7.3
01/06/1993;Tektite;3;T3Q4;30;9.5;19
01/06/1993;Tektite;3;T3Q5;26.2;8.5;29.5
01/06/1993;Tektite;3;T3Q6;28;10;6
01/06/1993;Tektite;3;T3Q7;29;19;20
01/06/1993;Tektite;3;T3Q8;50.7;4.9;5.6
