Date;Site;Type;Mean;Sd
2003;Yawzi;CTB;28.06;12.811352724076
2003;Yawzi;Macroalgae;23.88;15.4093880923063
2003;Yawzi;Scleractinian;12.2966666666667;15.5724000615885
2004;Tektite;CTB;10.2733333333333;6.33544671333216
2004;Tektite;Macroalgae;13.77;10.2597354943387
2004;Tektite;Scleractinian;40.7566666666667;14.938995103843
2004;Yawzi;CTB;14.3666666666667;14.3978286996466
2004;Yawzi;Macroalgae;20.5866666666667;16.9060840575492
2004;Yawzi;Scleractinian;11.6766666666667;15.5202355859593
2005;Tektite;CTB;33.2666666666667;9.5005746952608
2005;Tektite;Macroalgae;19.0466666666667;9.05449910392555
2005;Tektite;Scleractinian;41.97;14.2488511333612
2005;Yawzi;CTB;39.3;15.7335792889406
2005;Yawzi;Macroalgae;28.1866666666667;16.6256082768334
2005;Yawzi;Scleractinian;13.8033333333333;15.4116946937491
2006;Tektite;CTB;27.94;10.6875241479864
2006;Tektite;Macroalgae;36.14;10.5178534587296
2006;Tektite;Scleractinian;34.5566666666667;12.9028380554457
2006;Yawzi;CTB;29.9366666666667;17.1193877455243
2006;Yawzi;Macroalgae;47.32;20.6732777709076
2006;Yawzi;Scleractinian;8.88333333333333;10.5550146060218
2007;Tektite;CTB;37.3733333333333;10.0585847134068
2007;Tektite;Macroalgae;35.23;10.2330819168636
2007;Tektite;Scleractinian;24.3133333333333;9.83059030512036
2007;Yawzi;CTB;55.1033333333333;17.4516175188144
2007;Yawzi;Macroalgae;26.4666666666667;10.6067425963746
2007;Yawzi;Scleractinian;6.69333333333333;9.61550232996026
2008;Tektite;CTB;49.8666666666667;11.1405854279818
2008;Tektite;Macroalgae;12.5633333333333;6.60227146562054
2008;Tektite;Scleractinian;34.8966666666667;13.7289144492208
2008;Yawzi;CTB;52.7533333333333;11.9491951347284
2008;Yawzi;Macroalgae;27.0933333333333;13.8994649694433
2008;Yawzi;Scleractinian;8.14;8.70519464418249
2009;Tektite;CTB;45.19;11.737336536264
2009;Tektite;Macroalgae;18.26;6.6870745111178
2009;Tektite;Scleractinian;30.7333333333333;12.421181390127
2009;Yawzi;CTB;36.3633333333333;13.3991374743851
2009;Yawzi;Macroalgae;40.3933333333333;15.8444145131452
2009;Yawzi;Scleractinian;7.87666666666667;9.2275331381736
2010;Tektite;CTB;34.89;14.5656267547477
